rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
101,paulo,0.79 +/- 0.03,0.26 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-01 23:01:43+00:00,
102,admetchallenger,0.79 +/- 0.03,0.23 +/- 0.05,0.57 +/- 0.03,0.41 +/- 0.02,2025-11-14 00:46:45+00:00,
103,minzina,0.79 +/- 0.03,0.24 +/- 0.05,0.60 +/- 0.03,0.43 +/- 0.03,2025-12-02 05:23:49+00:00,
104,maxime1310,0.79 +/- 0.03,0.29 +/- 0.04,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-30 22:49:02+00:00,
105,snowball,0.80 +/- 0.03,0.24 +/- 0.05,0.58 +/- 0.03,0.42 +/- 0.03,2025-11-21 22:16:50+00:00,
106,AFP_FF_1_ensemble,0.80 +/- 0.03,0.26 +/- 0.05,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-11 20:24:08+00:00,
107,maxime1,0.80 +/- 0.03,0.27 +/- 0.04,0.58 +/- 0.03,0.42 +/- 0.02,2025-11-25 22:50:20+00:00,
108,malteny,0.80 +/- 0.03,0.17 +/- 0.06,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-02 15:18:06+00:00,
109,eightmm,0.80 +/- 0.03,0.22 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-11 03:50:28+00:00,
110,mkruege,0.81 +/- 0.04,0.24 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-12-01 14:16:41+00:00,
111,AStaniszewski,0.82 +/- 0.03,0.20 +/- 0.05,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-03 16:23:41+00:00,
112,snowtester,0.82 +/- 0.03,0.21 +/- 0.05,0.58 +/- 0.03,0.41 +/- 0.02,2025-11-11 17:15:46+00:00,
113,lherman,0.82 +/- 0.04,0.14 +/- 0.06,0.61 +/- 0.03,0.45 +/- 0.02,2025-11-11 23:02:31+00:00,
114,Mohitlikestocode,0.84 +/- 0.03,0.16 +/- 0.05,0.54 +/- 0.03,0.38 +/- 0.03,2025-11-23 06:27:30+00:00,
115,jasonlin90125,0.85 +/- 0.03,0.13 +/- 0.05,0.53 +/- 0.03,0.38 +/- 0.03,2025-11-18 20:42:06+00:00,
116,chundu05,0.88 +/- 0.04,-0.06 +/- 0.09,0.58 +/- 0.03,0.42 +/- 0.02,2025-11-21 08:15:12+00:00,
117,DrSmith,0.90 +/- 0.03,-0.00 +/- 0.06,0.49 +/- 0.04,0.35 +/- 0.03,2025-11-20 22:21:55+00:00,
118,ProtonSci,0.90 +/- 0.04,0.04 +/- 0.06,0.53 +/- 0.03,0.37 +/- 0.03,2025-12-01 17:23:37+00:00,
119,morgul,0.91 +/- 0.03,0.01 +/- 0.06,0.50 +/- 0.04,0.35 +/- 0.03,2025-11-04 21:44:02+00:00,
120,NHRI_MTForestNet_L4_MAE,0.91 +/- 0.03,0.01 +/- 0.05,0.49 +/- 0.04,0.34 +/- 0.03,2025-11-18 08:09:24+00:00,
121,NHRI_MTForestNet_L3_MAE,0.92 +/- 0.03,0.00 +/- 0.05,0.49 +/- 0.03,0.34 +/- 0.03,2025-11-18 08:06:59+00:00,
122,emsciage,0.93 +/- 0.04,-0.22 +/- 0.11,0.63 +/- 0.03,0.47 +/- 0.02,2025-11-09 01:57:24+00:00,
123,NHRI_MTForestNet_L2_MAE,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:02:57+00:00,
124,NHRI_MTForestNet_L2_MAE_round1,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:14:01+00:00,
125,AussieAussieAussie,0.96 +/- 0.04,-0.38 +/- 0.10,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-02 02:11:47+00:00,
126,TheMysteryMan,0.96 +/- 0.04,-0.12 +/- 0.07,0.43 +/- 0.04,0.30 +/- 0.03,2025-10-31 16:03:14+00:00,
127,trydemo2,0.96 +/- 0.04,-0.32 +/- 0.11,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-16 07:26:21+00:00,
128,iCsmiles,0.97 +/- 0.04,-0.18 +/- 0.09,0.45 +/- 0.04,0.32 +/- 0.03,2025-11-29 21:19:07+00:00,
129,Discoverybytes,0.98 +/- 0.04,-0.13 +/- 0.09,0.46 +/- 0.04,0.33 +/- 0.03,2025-12-01 18:02:37+00:00,
130,thmtt,1.00 +/- 0.04,-0.16 +/- 0.06,0.35 +/- 0.04,0.25 +/- 0.03,2025-11-04 23:46:56+00:00,
131,ld502,1.06 +/- 0.02,-0.20 +/- 0.03,0.51 +/- 0.02,0.36 +/- 0.02,2025-11-20 04:31:57+00:00,
132,openadmet-dummy,1.08 +/- 0.02,-0.20 +/- 0.03,nan +/- nan,nan +/- nan,2025-10-23 18:47:43+00:00,
133,phazer,1.12 +/- 0.03,-0.39 +/- 0.06,0.21 +/- 0.04,0.14 +/- 0.03,2025-11-01 21:00:59+00:00,
134,nhkhiem1998,1.15 +/- 0.05,-0.88 +/- 0.13,0.54 +/- 0.03,0.41 +/- 0.02,2025-11-13 15:35:49+00:00,
135,KyNguyen,1.20 +/- 0.04,-0.62 +/- 0.07,0.24 +/- 0.04,0.16 +/- 0.03,2025-11-22 05:14:35+00:00,
136,baseline_v2,1.32 +/- 0.04,-0.72 +/- 0.09,0.26 +/- 0.04,0.18 +/- 0.03,2025-11-15 19:40:44+00:00,
137,anon1234,1.35 +/- 0.05,-1.05 +/- 0.12,0.44 +/- 0.03,0.32 +/- 0.02,2025-11-28 23:21:13+00:00,
138,DMakarov,1.58 +/- 0.07,-2.07 +/- 0.20,0.65 +/- 0.02,0.49 +/- 0.02,2025-11-25 20:15:56+00:00,
139,rabbit,1.59 +/- 0.07,-2.06 +/- 0.20,0.64 +/- 0.03,0.48 +/- 0.02,2025-12-02 08:17:23+00:00,
140,DMak,1.61 +/- 0.07,-2.09 +/- 0.20,0.65 +/- 0.02,0.48 +/- 0.02,2025-11-14 13:02:30+00:00,
141,bobek,2.10 +/- 0.08,-3.33 +/- 0.26,0.50 +/- 0.03,0.34 +/- 0.03,2025-11-25 14:18:07+00:00,
142,rhlin1023,2.10 +/- 0.09,-3.19 +/- 0.28,0.57 +/- 0.03,0.42 +/- 0.03,2025-11-23 13:47:53+00:00,
143,clocktower2,2.44 +/- 0.10,-4.83 +/- 0.40,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-02 07:06:29+00:00,
144,clocktower,2.44 +/- 0.10,-4.83 +/- 0.40,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-02 05:31:32+00:00,
145,wigu,2.55 +/- 0.11,-5.16 +/- 0.41,0.83 +/- 0.01,0.68 +/- 0.01,2025-11-19 18:15:01+00:00,
146,rabbit,2.55 +/- 0.11,-5.15 +/- 0.41,0.85 +/- 0.01,0.67 +/- 0.01,2025-11-28 00:48:11+00:00,
147,vgny,2.56 +/- 0.11,-5.17 +/- 0.41,0.76 +/- 0.02,0.60 +/- 0.02,2025-12-02 05:53:01+00:00,
148,vaishnavi53,2.57 +/- 0.11,-5.17 +/- 0.41,0.74 +/- 0.02,0.57 +/- 0.02,2025-11-27 07:42:03+00:00,
149,vyshu54,2.57 +/- 0.11,-5.18 +/- 0.41,0.73 +/- 0.02,0.57 +/- 0.02,2025-11-27 07:57:35+00:00,
150,GNandini10,2.57 +/- 0.11,-5.17 +/- 0.41,0.74 +/- 0.02,0.57 +/- 0.02,2025-11-27 07:01:44+00:00,
151,egeorge14,2.57 +/- 0.11,-5.17 +/- 0.41,0.71 +/- 0.02,0.53 +/- 0.01,2025-12-01 20:28:27+00:00,
152,vaishu53,2.59 +/- 0.11,-5.20 +/- 0.41,0.53 +/- 0.02,0.38 +/- 0.02,2025-12-01 04:53:00+00:00,
153,mopac79,2.64 +/- 0.11,-5.28 +/- 0.41,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-02 09:58:02+00:00,
154,NHRI_MTForestNet_3,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:41:27+00:00,
155,NHRI_MTForestNet_4,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:42:27+00:00,
156,rhlin,2.66 +/- 0.10,-5.03 +/- 0.39,0.48 +/- 0.03,0.35 +/- 0.03,2025-11-17 05:12:33+00:00,https://MTForestNet
